DEFAULT_PORT	REPOSITORY	DESCRIPTON
8080	webgoat/webgoat-8.0	WebGoat is a deliberately insecure application
80	vulnerables/web-dvwa	Damn Vulnerable Web Application (DVWA)
80	yavuzlar/vulnlab:latest	A web vulnerability lab project developed by Yavuzlar
3000	bkimminich/juice-shop	The most modern and sophisticated insecure web-app!
80	raesene/bwapp		This is a simple Docker image for the OWASP bWAPP
80	justhumanz/web_for_pentest	This was docker version of Web for Pentest
8080	psiinon/bodgeit	The BodgeIt Store is a vulnerable web app
8080	aabashkin/niva	NoSQL Injection Vulnerable App (NIVA) 
80	sasanlabs/owasp-vulnerableapp	OWASP VulnerableApp
8000	pygoat/pygoat	intentionally web Application Security in django 
80	roottusk/vapi	vAPI Vulnerable Adversely Programmed Interface
